category,name,producer,url,price,barcode
Κάβα,ΑΝΑΨΥΚΤΙΚΟ ZERO ΧΩΡΙΣ ΚΑΦΕΙΝΗ 6 X 330 ML,COCA COLA- ZERO,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Cola/ANAPsYKTIKO-ZERO-ChORIS-KAFEINI-6-X-330-ML/p/7137116,"3,90",4142563
Κάβα,ΑΝΑΨΥΚΤΙΚΟ COLA 2 X1 LT,COCA COLA- ZERO,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Cola/ANAPsYKTIKO-COLA-2-X1-LT/p/7097237,"2,30",4142377
Κάβα,ΑΝΑΨΥΚΤΙΚΟ PINK GRAPEFRUIT 4 Χ 330 ML,SCHWEPPES,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Soda-Tonik-Mixers/ANAPsYKTIKO-PINK-GRAPEFRUIT-4-Ch-330-ML/p/7482368,"2,64",4141004
Κάβα,ΑΝΘΡΑΚΟΥΧΟ ΝΕΡΟ ΦΙΑΛΗ 1 LT,SAN PELLEGRINO,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Anthrakoycho/ANThRAKOYChO-NERO-FIALI-1-LT/p/7435405,"1,15",4120241
Κάβα,ΑΝΑΨΥΚΤΙΚΟ COLA ΦΙΑΛΗ 1 LT,GREEN,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Cola/ANAPsYKTIKO-COLA-FIALI-1-LT/p/7220446,"0,96",4141547
Κάβα,ΑΝΑΨΥΚΤΙΚΟ ΠΟΡΤΟΚΑΛΑΔΑ ΜΠΛΕ ΦΙΑΛΗ 330 ML,ΛΟΥΞ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Portokalada/ANAPsYKTIKO-PORTOKALADA-MPLE-FIALI-330-ML/p/7103806,"0,50",4142452
Κάβα,ΑΠΕΡΙΤΙΦ  700 ML,APEROL,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Pota/Aperitif-Choneytika/APERITIF-700-ML/p/7102780,"11,70",4060759
Κάβα,ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΝΕΡΟ  6 X1 LT,CONTREX,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Epitrapezio-Metalliko/FYSIKO-METALLIKO-NERO-6-X1-LT/p/7123890,"4,32",4120524
Κάβα,ΑΝΑΨΥΚΤΙΚΟ COLA 4 X 500 ML,GREEN,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Cola/ANAPsYKTIKO-COLA-4-X-500-ML/p/7149071,"3,40",4142675
Κάβα,ΑΝΘΡΑΚΟΥΧΟ ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΝΕΡΟ ΛΕΜΟΝΙ 4 X 330 ML,PERRIER,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Anthrakoycho/ANThRAKOYChO-FYSIKO-METALLIKO-NERO-LEMONI-4-X-330-ML/p/7092061,"3,96",4120358
